FIPS Code,Population,County
36000,19641589,New York State
36001,307628,Albany
36003,47039,Allegany
36005,1445237,Bronx
36007,194345,Broome
36009,77708,Cattaraugus
36011,77666,Cayuga
36013,129350,Chautauqua
36015,85676,Chemung
36017,48317,Chenango
36019,80524,Clinton
36021,60882,Columbia
36023,47919,Cortland
36025,45446,Delaware
36027,293049,Dutchess
36029,918479,Erie
36031,37675,Essex
36033,51077,Franklin
36035,53604,Fulton
36037,58022,Genesee
36039,47525,Greene
36041,4557,Hamilton
36043,62446,Herkimer
36045,113015,Jefferson
36047,2611232,Kings
36049,26652,Lewis
36051,63942,Livingston
36053,71291,Madison
36055,743531,Monroe
36057,49206,Montgomery
36059,1356463,Nassau
36061,1636261,New York
36063,211534,Niagara
36065,230348,Oneida
36067,464033,Onondaga
36069,109267,Ontario
36071,378047,Orange
36073,41196,Orleans
36075,118881,Oswego
36077,60119,Otsego
36079,98812,Putnam
36081,2309032,Queens
36083,159334,Rensselaer
36085,474214,Richmond
36087,323640,Rockland
36089,109411,St. Lawrence
36091,227048,Saratoga
36093,154473,Schenectady
36095,31307,Schoharie
36097,17948,Schuyler
36099,34731,Seneca
36101,96895,Steuben
36103,1486804,Suffolk
36105,74977,Sullivan
36107,48822,Tioga
36109,102938,Tompkins
36111,179080,Ulster
36113,64428,Warren
36115,61767,Washington
36117,90754,Wayne
36119,970556,Westchester
36121,40406,Wyoming
36123,25023,Yates
