County,Clinton   Kaine,Trump    Pence,Trump    Pence.1,Stein   Baraka,Clinton   Kaine.1,Johnson  Weld,Clinton   Kaine.2,Johnson  Weld.1,Unnamed: 9,Unnamed: 10,County.1,Arantxa Aranja,Neer R. Asherie,Mark Blickley,Robert L. Buchanan,Gary S. Canns,Willie Carter,Darrell Castle,Ariel Cohen,William J. Connolly,"""Rocky"" Rogue De La Fuente",Jason Fried,Zoltan Istvan Gyurko,Unnamed: 24,Unnamed: 25,County.2,Ben Hartnell,Tom Hoefling,Michael Frederick Ingbar,Lynn Kahn,Chris Keniston,Gloria La Riva,Jeffrey Mackler,Michael A. Maturen,Evan McMullin,Monica Moorehead,Jason Mutford,Clifton Roberts,Unnamed: 39,Unnamed: 40,County.3,Marshall Schoenke,Ryan Alan Scott,Emidio Soltysik,Tony Valdivia,J. J. Vogel-Walcutt,Esther Welsh,Barbara Whitaker,Robert M. Wolff,Blank,Void,Scattering,Total
 Albany,78504,42554,5254,2475,3419,3099,1148,1693,,, Albany,0,0,0,4,0,0,18,1,6,0,0,5,,, Albany,1,1,1,5,4,3,1,9,273,1,14,3,,, Albany,0,0,3,1,0,0,0,0,1350,145,1318,141313
 Allegany,4646,11421,1104,275,173,527,63,208,,, Allegany,0,0,0,0,0,0,7,0,0,0,0,0,,, Allegany,0,1,0,0,0,0,0,1,90,0,0,0,,, Allegany,0,0,0,0,0,0,0,0,178,2,176,18872
 Broome,37106,37337,3606,1546,1631,2187,475,1059,,, Broome,0,0,0,0,0,0,27,0,0,1,0,2,,, Broome,0,2,0,1,0,2,0,10,214,0,0,0,,, Broome,0,0,1,0,0,0,0,1,1038,67,864,87177
 Cattaraugus,9077,17485,2207,440,274,932,146,314,,, Cattaraugus,0,0,0,0,0,0,3,0,1,0,0,0,,, Cattaraugus,0,0,0,0,2,0,1,1,73,0,0,0,,, Cattaraugus,0,0,0,0,0,0,0,0,320,72,205,31553
 Cayuga,12779,15316,2068,501,541,1008,202,350,,, Cayuga,0,0,0,0,0,2,22,0,1,0,0,1,,, Cayuga,0,0,1,4,0,0,0,2,65,0,0,0,,, Cayuga,0,0,1,0,0,0,0,1,259,16,307,33447
 Chautauqua,18112,27516,4078,757,704,1601,275,602,,, Chautauqua,0,0,0,0,0,0,9,0,0,0,0,0,,, Chautauqua,0,0,0,0,0,0,0,0,95,0,0,0,,, Chautauqua,0,0,0,0,0,0,0,0,576,0,485,54810
 Chemung,13277,18347,1750,463,326,1012,154,435,,, Chemung,0,0,0,0,0,0,11,2,0,0,0,0,,, Chemung,0,2,0,0,3,0,0,0,76,0,0,0,,, Chemung,0,0,0,0,0,0,0,0,395,0,261,36514
 Chenango,6417,10849,1072,358,258,634,100,282,,, Chenango,0,0,0,0,0,0,2,0,0,0,0,2,,, Chenango,0,0,0,0,0,0,0,0,17,0,0,0,,, Chenango,0,0,0,0,0,0,0,0,148,11,169,20319
 Clinton,14217,13312,1137,613,634,964,208,348,,, Clinton,0,0,0,0,0,1,2,0,0,0,0,0,,, Clinton,1,2,0,7,1,1,0,5,48,0,0,0,,, Clinton,0,0,2,0,0,0,0,0,2414,17,602,34536
 Columbia,14146,11867,1889,598,865,626,273,318,,, Columbia,0,0,0,0,0,0,8,0,3,1,0,2,,, Columbia,0,0,0,3,0,0,0,1,63,0,1,0,,, Columbia,0,0,0,0,0,0,0,0,230,20,238,31152
 Cortland,8307,8930,970,374,309,682,155,275,,, Cortland,0,0,0,1,0,0,1,0,0,0,0,1,,, Cortland,0,1,0,0,0,1,0,0,57,0,0,0,,, Cortland,0,0,0,0,0,0,0,0,209,0,180,20453
 Delaware,6194,10827,1115,377,333,476,100,174,,, Delaware,0,0,0,0,0,0,10,0,0,0,0,0,,, Delaware,0,0,0,0,1,0,0,3,39,0,0,0,,, Delaware,0,0,0,0,0,0,0,0,131,9,143,19932
 Dutchess,58910,54366,7431,1986,2602,2366,749,1234,,, Dutchess,0,1,0,1,0,0,31,0,0,3,0,1,,, Dutchess,0,2,0,1,4,2,0,9,231,1,0,0,,, Dutchess,0,0,1,0,0,0,0,0,1084,216,1002,132234
 Erie,205773,159742,28561,6367,7302,8463,2381,4257,,, Erie,0,0,0,23,1,0,57,0,1,0,1,7,,, Erie,9,7,0,4,5,4,0,53,593,9,1,4,,, Erie,0,0,0,0,0,0,0,0,7912,0,0,431537
 Essex,7341,7347,611,420,282,533,139,195,,, Essex,0,0,0,0,0,0,0,0,0,0,0,0,,, Essex,1,0,2,4,0,0,0,2,42,0,0,2,,, Essex,0,0,0,0,0,0,0,0,244,0,297,17462
 Franklin,6994,7670,551,359,225,505,78,212,,, Franklin,0,0,0,0,0,0,5,0,0,0,0,0,,, Franklin,0,0,0,1,0,0,0,0,40,0,0,0,,, Franklin,0,0,0,0,0,0,0,0,227,10,312,17189
 Fulton,6215,12331,1131,311,177,532,104,247,,, Fulton,0,0,0,0,0,0,3,0,0,0,0,0,,, Fulton,0,0,0,0,0,0,0,0,17,0,1,0,,, Fulton,0,0,0,0,0,0,0,0,238,12,145,21464
 Genesee,7276,14646,2269,324,258,902,116,417,,, Genesee,0,0,0,0,0,0,5,0,0,0,0,0,,, Genesee,0,0,0,0,1,0,0,1,40,0,0,0,,, Genesee,0,0,0,0,0,0,0,0,240,4,177,26676
 Greene,6914,11620,1453,442,365,458,126,189,,, Greene,0,0,0,0,0,0,58,0,3,0,0,0,,, Greene,0,1,0,0,0,1,0,0,25,0,2,2,,, Greene,0,0,0,0,0,0,0,0,269,6,391,22325
 Hamilton,906,1897,167,44,24,79,19,40,,, Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,,, Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,,, Hamilton,0,0,0,0,0,0,0,0,52,0,49,3277
 Herkimer,7708,15110,1589,403,262,740,113,262,,, Herkimer,0,0,0,1,0,0,17,0,0,0,0,0,,, Herkimer,0,0,0,0,0,0,0,1,49,0,0,0,,, Herkimer,0,0,0,0,0,0,0,0,227,215,0,26697
 Jefferson,13150,19894,1869,617,466,1238,193,432,,, Jefferson,0,0,0,0,0,0,15,0,0,0,0,0,,, Jefferson,0,0,0,0,0,0,0,5,60,0,0,0,,, Jefferson,0,0,0,0,0,0,0,0,327,50,297,38613
 Lewis,3009,6698,702,132,96,396,41,100,,, Lewis,0,0,0,0,0,0,7,0,0,0,0,0,,, Lewis,0,0,0,0,1,0,0,2,30,0,0,0,,, Lewis,0,0,0,0,0,0,0,0,125,5,111,11455
 Livingston,10140,15168,2122,449,370,862,187,414,,, Livingston,0,0,0,0,0,0,12,0,0,1,0,1,,, Livingston,0,3,0,1,0,0,0,0,102,0,0,1,,, Livingston,0,0,0,0,0,0,0,1,253,29,197,30313
 Madison,10988,14144,1792,516,482,1097,197,485,,, Madison,0,0,0,0,0,0,11,0,0,0,0,1,,, Madison,1,1,0,0,1,0,0,2,83,0,0,0,,, Madison,0,0,0,0,0,0,0,0,288,1,263,30353
 Monroe,179142,116476,20106,5289,6588,8640,2862,4565,,, Monroe,0,0,0,7,1,1,57,1,0,5,0,15,,, Monroe,4,47,0,7,8,12,0,42,990,6,8,2,,, Monroe,2,1,2,1,0,1,0,0,2984,194,2902,350968
 Montgomery,6264,9894,1407,268,230,460,101,230,,, Montgomery,0,0,0,0,0,0,12,0,0,0,0,0,,, Montgomery,0,1,0,0,1,2,0,1,36,0,4,0,,, Montgomery,0,0,0,0,0,0,0,0,203,17,143,19274
 Nassau,324212,272873,19152,6734,5671,7195,2271,4142,,, Nassau,0,1,0,1,0,0,37,17,0,1,0,5,,, Nassau,9,2,1,0,4,8,0,24,603,2,1,7,,, Nassau,0,0,2,0,0,0,0,0,5865,689,4147,653676
 Niagara,33927,44289,7672,1287,1228,2059,404,806,,, Niagara,0,0,0,0,0,0,8,0,0,0,0,0,,, Niagara,0,1,0,0,2,0,0,0,118,0,0,0,,, Niagara,0,0,0,0,0,0,0,0,1891,0,601,94293
 Oneida,32217,46282,5155,1235,1070,2682,456,1072,,, Oneida,0,0,0,1,0,0,17,0,0,2,0,1,,, Oneida,0,4,0,0,0,1,0,5,158,0,0,0,,, Oneida,0,0,0,0,0,0,0,0,864,39,651,91912
 Onondaga,107049,73700,9949,3185,3781,5853,1507,2671,,, Onondaga,0,0,0,3,1,3,51,0,8,0,0,1,,, Onondaga,4,2,0,2,1,4,0,33,624,4,2,0,,, Onondaga,0,0,1,0,0,0,0,1,4424,0,0,212864
 Ontario,21062,22788,3241,852,799,1721,372,765,,, Ontario,0,0,0,0,0,6,11,0,0,0,0,1,,, Ontario,0,5,0,12,2,5,0,5,173,0,9,0,,, Ontario,0,0,0,0,0,0,0,0,415,18,429,52691
 Orange,65532,68509,8136,2154,1997,2687,749,1180,,, Orange,0,0,0,3,0,1,22,0,0,2,0,0,,, Orange,0,3,0,0,2,1,0,9,137,0,0,3,,, Orange,0,0,0,0,0,0,0,0,4521,124,894,156666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Clinton   Kaine,Trump    Pence,Trump    Pence,Stein   Baraka,Clinton   Kaine,Johnson  Weld,Clinton   Kaine,Johnson  Weld,,,County,Arantxa Aranja,Neer R. Asherie,Mark Blickley,Robert L. Buchanan,Gary S. Canns,Willie Carter,Darrell Castle,Ariel Cohen,William J. Connolly,"""Rocky"" Rogue De La Fuente",Jason Fried,Zoltan Istvan Gyurko,,,County,Ben Hartnell,Tom Hoefling,Michael Frederick Ingbar,Lynn Kahn,Chris Keniston,Gloria La Riva,Jeffrey Mackler,Michael A. Maturen,Evan McMullin,Monica Moorehead,Jason Mutford,Clifton Roberts,,,County,Marshall Schoenke,Ryan Alan Scott,Emidio Soltysik,Tony Valdivia,J. J. Vogel-Walcutt,Esther Welsh,Barbara Whitaker,Robert M. Wolff,Blank,Void,Scattering,Total
,DEM,REP,CON,GRN,WOR,IND,WEP,LBT,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,Official Presidential Write-In Candidates,,,,,,,,,,,
 Orleans,4239,9700,1236,184,150,470,81,210,,, Orleans,0,0,0,0,0,0,4,0,0,1,0,0,,, Orleans,1,0,0,0,0,0,0,2,23,0,0,0,,, Orleans,0,0,0,0,0,0,0,0,182,7,79,16569
 Oswego,16186,24794,2894,705,663,1554,246,583,,, Oswego,0,0,0,0,1,0,21,1,1,0,0,0,,, Oswego,0,2,0,1,1,3,0,17,112,0,1,1,,, Oswego,0,0,1,0,0,0,0,0,343,24,392,48547
 Otsego,9809,12156,1152,520,476,723,166,343,,, Otsego,0,0,0,0,0,0,7,0,0,0,0,0,,, Otsego,0,2,0,0,1,0,0,1,58,0,0,0,,, Otsego,0,0,1,0,0,0,0,0,221,48,253,25937
 Putnam,18324,23905,3119,590,806,751,236,420,,, Putnam,0,0,0,0,0,0,3,0,0,0,0,0,,, Putnam,1,0,0,0,2,0,0,0,52,0,0,2,,, Putnam,0,0,0,0,0,0,0,0,302,0,352,48865
 Rensselaer,30506,28591,5135,1355,1576,1959,635,985,,, Rensselaer,0,0,0,0,0,0,13,0,1,1,1,0,,, Rensselaer,0,0,1,4,4,5,0,4,119,0,11,5,,, Rensselaer,0,0,0,0,0,0,0,0,558,15,651,72135
 Rockland,67098,54873,6038,1348,1640,1529,604,755,,, Rockland,0,0,0,0,0,0,12,0,0,2,0,0,,, Rockland,0,0,0,0,0,2,0,22,155,0,0,1,,, Rockland,0,0,0,0,0,0,0,0,2865,97,1008,138049
 Saratoga,48503,48584,5991,1825,1653,3354,757,1762,,, Saratoga,0,0,0,0,0,0,38,0,0,0,0,0,,, Saratoga,1,1,0,4,5,1,0,10,330,0,9,0,,, Saratoga,0,0,0,0,0,0,0,0,1024,0,1266,115118
 Schenectady,32072,25203,3750,1127,1165,1770,510,854,,, Schenectady,0,0,0,1,0,2,17,1,1,0,0,1,,, Schenectady,1,4,0,1,1,0,0,4,132,0,12,5,,, Schenectady,0,0,0,0,0,0,0,0,583,42,646,67905
 Schoharie,3966,7705,1126,274,191,382,83,149,,, Schoharie,0,0,0,4,0,0,8,0,0,0,0,0,,, Schoharie,0,0,0,0,1,0,0,6,37,0,0,0,,, Schoharie,0,0,0,0,0,0,0,0,111,4,118,14165
 Schuyler,2817,4517,533,216,205,206,69,103,,, Schuyler,0,0,0,0,0,0,3,0,0,0,0,0,,, Schuyler,0,0,0,0,2,0,0,0,18,1,0,0,,, Schuyler,0,0,0,0,0,0,0,0,59,2,82,8833
 Seneca,5350,6488,748,259,235,464,112,174,,, Seneca,0,0,0,0,0,0,3,0,0,0,0,0,,, Seneca,0,0,0,0,0,0,0,3,35,0,0,0,,, Seneca,0,0,0,0,0,0,0,0,104,6,109,14090
 St. Lawrence,15749,18236,1706,807,534,1034,205,411,,, St. Lawrence,0,0,0,0,0,0,3,0,0,0,0,0,,, St. Lawrence,0,0,0,0,0,0,0,0,76,0,0,0,,, St. Lawrence,0,0,0,0,0,0,0,0,474,0,397,39632
 Steuben,11982,24743,2088,585,389,1167,155,499,,, Steuben,0,0,0,0,0,0,6,0,0,0,0,0,,, Steuben,0,1,0,1,1,0,0,3,91,0,0,0,,, Steuben,0,0,0,0,0,0,0,0,309,23,291,42334
 Suffolk,292720,314639,35931,8099,8001,9169,3230,4747,,, Suffolk,0,0,0,1,0,0,74,0,0,2,0,6,,, Suffolk,2,6,0,0,5,5,0,11,509,0,0,7,,, Suffolk,0,0,3,0,0,0,0,0,5028,208,4087,686490
 Sullivan,11913,13929,2002,504,498,538,157,196,,, Sullivan,0,0,0,0,0,0,4,0,0,0,0,0,,, Sullivan,0,0,0,0,1,0,0,1,18,0,0,0,,, Sullivan,0,0,0,0,0,0,0,0,502,27,194,30484
 Tioga,7123,12206,1054,337,299,623,104,307,,, Tioga,0,0,0,0,0,0,3,0,0,0,0,0,,, Tioga,0,0,0,0,0,1,0,0,50,0,0,0,,, Tioga,0,0,0,0,0,0,0,0,247,9,192,22555
 Tompkins,26093,9370,1001,1380,2358,855,439,538,,, Tompkins,0,0,0,1,0,0,8,0,1,2,0,2,,, Tompkins,0,1,0,0,1,3,0,3,140,1,0,0,,, Tompkins,0,0,0,2,0,0,0,0,338,23,479,43039
 Ulster,40674,30288,4951,2147,3192,1570,731,822,,, Ulster,0,0,0,0,0,0,22,0,1,0,0,1,,, Ulster,1,0,0,0,4,1,1,6,112,0,3,6,,, Ulster,0,0,2,0,0,0,0,0,889,844,755,87023
 Warren,12461,14317,1434,863,420,854,210,401,,, Warren,0,0,0,0,0,0,11,0,0,0,0,0,,, Warren,0,0,0,2,0,0,0,4,64,0,3,0,,, Warren,0,0,0,0,0,0,0,0,291,17,364,31716
 Washington,8564,12170,1440,578,373,644,161,282,,, Washington,0,0,0,0,0,0,3,0,0,0,0,0,,, Washington,0,2,0,0,0,1,0,0,73,0,0,0,,, Washington,0,0,1,0,0,0,0,0,245,0,236,24773
 Wayne,12728,20221,3159,567,531,1391,214,520,,, Wayne,0,0,0,2,0,0,9,0,0,0,0,1,,, Wayne,0,6,0,2,9,0,0,3,116,0,0,0,,, Wayne,0,0,0,0,0,0,0,0,289,33,208,40009
 Westchester,265256,119658,11580,4358,5658,4898,2012,3144,,, Westchester,0,0,0,1,0,1,20,1,0,2,0,4,,, Westchester,0,2,0,2,4,10,0,24,534,2,1,6,,, Westchester,0,0,2,0,0,0,0,0,3400,0,3475,424055
 Wyoming,3716,10928,1514,180,134,474,54,199,,, Wyoming,0,0,0,0,0,0,4,0,0,1,0,0,,, Wyoming,0,0,0,0,0,0,0,0,30,0,0,0,,, Wyoming,0,0,0,0,0,0,0,0,183,20,64,17501
 Yates,3473,5089,571,146,126,345,60,149,,, Yates,0,0,0,1,0,0,5,0,0,0,0,0,,, Yates,0,1,0,0,0,0,0,0,27,0,0,0,,, Yates,0,0,0,0,0,0,0,1,152,3,72,10221
Total Outside NYC,2288833,2073515,251469,71105,75015,99940,27695,48526,,,Total Outside NYC,0,2,0,56,4,17,857,24,28,27,2,61,,,Total Outside NYC,37,116,6,69,85,79,3,350,8172,27,83,57,,,Total Outside NYC,2,1,23,4,0,1,0,5,58600,3440,33726,5042062
 Bronx,347893,34089,3708,4341,5016,1832,737,480,,, Bronx,0,1,0,0,0,0,11,0,0,1,0,2,,, Bronx,1,3,0,0,0,15,0,15,108,1,0,0,,, Bronx,0,0,0,0,0,0,0,0,3455,0,1268,402977
 Kings,611439,129368,11676,11932,26578,4786,2536,2078,,, Kings,0,2,0,1,0,1,29,0,1,1,2,2,,, Kings,3,16,1,1,1,33,7,22,537,11,1,13,,, Kings,1,0,10,0,0,0,0,0,4900,0,4516,810505
 New York,557859,60638,4292,9441,18396,5588,2758,3820,,, New York,0,3,1,1,0,0,12,0,1,5,0,6,,, New York,0,0,1,1,0,24,4,30,962,17,0,6,,, New York,0,2,0,0,0,0,1,0,4172,0,5071,673112
 Queens,502411,137148,12193,9230,12666,5270,2143,1846,,, Queens,0,0,1,0,1,0,33,9,0,0,2,5,,, Queens,1,2,0,1,1,22,1,30,477,8,1,9,,, Queens,0,0,2,0,0,0,0,0,4816,0,2880,691209
 Richmond,71348,92383,9054,1886,2372,1744,423,688,,, Richmond,0,1,0,0,0,0,13,0,0,1,0,0,,, Richmond,0,0,0,0,3,2,0,11,141,4,0,3,,, Richmond,0,0,1,0,0,0,0,0,1160,0,882,182120
Total NYC,2090950,453626,40923,36830,65028,19220,8597,8912,,,Total NYC,0,7,2,2,1,1,98,9,2,8,4,15,,,Total NYC,5,21,2,3,5,96,12,108,2225,41,2,31,,,Total NYC,1,2,13,0,0,0,1,0,18503,0,14617,2759923
Statewide Total,4379783,2527141,292392,107935,140043,119160,36292,57438,,,Statewide Total,0,9,2,58,5,18,955,33,30,35,6,76,,,Statewide Total,42,137,8,72,90,175,15,458,10397,68,85,88,,,Statewide Total,3,3,36,4,0,1,1,5,77103,3440,48343,7801985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAP,4556118,2819533,,107935,,119160,,57438,,,RECAP,0,9,2,58,5,18,955,33,30,35,6,76,,,RECAP,42,137,8,72,90,175,15,458,10397,68,85,88,,,RECAP,3,3,36,4,0,1,1,5,,,,
